Lens_Vector,Smile_Vector,Moustach_Vector,Male_Female_Vector,Young_Old_Vector
-0.005226301,0.01906987,0.08416647,0.01956997,0.021756109
-0.012978926,-0.0062331725,-0.034614768,-0.02620985,0.06584367
-0.054735288,0.03272777,0.0025376268,0.00042665564,0.08888881
-0.016715802,-0.08404749,0.012612136,-0.035787046,-0.005389683
0.013843745,-0.014411291,-0.043137245,-0.002481034,0.03964048
-0.013198517,-0.023899114,0.057428077,0.0021327697,-0.008657176
-0.016522232,-0.028611794,-0.0068365075,0.16888012,-0.027945653
0.040278617,0.011922451,-0.030125404,-0.011243264,-0.0041819206
0.028023219,0.049857564,0.013337929,0.0010419069,-0.032348912
-0.051760234,-0.021161025,0.009385004,-0.055828735,0.011497715
0.031148441,-0.040716242,-0.08296977,0.16703407,-0.05721357
-0.024873711,-0.02762238,-0.049681854,-0.06483601,-0.028872766
-0.0071526906,0.016741127,0.019096252,0.030325228,-0.020898627
0.060974628,-0.01522821,0.043674577,0.0028781518,-0.07348113
-0.004941576,-0.017294655,0.058342587,0.033488177,-0.116939776
-0.007885899,0.009850988,0.08526635,0.017844945,0.047665454
0.022184988,-0.03429887,-0.038785934,0.026220758,-0.06879112
0.012833176,0.057436783,-0.0048327874,0.018888034,-0.06947073
0.024635734,-0.0009877961,-0.0917001,-0.03371914,0.009114084
-0.03995324,-0.03345886,-0.124979444,0.15474667,0.22635865
-0.042624835,-0.0045344103,-0.0791355,-0.062419415,-0.0069178296
-0.011041924,0.049586598,0.106636085,-0.23313653,-0.05318051
-0.011145932,0.016585406,-0.027189525,0.042893805,-0.00912368
0.01032394,-0.0010387856,-0.03550716,-0.019900506,-0.080478586
0.07002827,0.04603794,0.018482048,0.041646335,0.04013049
-0.007968709,-0.0032291356,0.032754406,0.011462247,-0.036987595
0.07807283,-0.037692092,-0.03647689,0.012524292,-0.042013597
-0.0008205306,-0.054832812,0.059616167,-0.050042808,-0.09827267
0.030986547,0.053678636,0.1714478,-0.059926555,0.0438972
-0.0132046845,-0.09739883,0.041483626,-0.028167427,-0.07955848
0.011354931,-0.028926691,-0.038907643,-0.01786531,-0.17974234
0.037977934,0.03138758,-0.03752182,0.047334924,-0.04229574
0.01741224,0.02579048,-0.037011668,-0.004284017,0.006354314
0.05001156,0.026845621,-0.0630326,0.09380352,0.011465045
-0.003929628,0.023401786,0.047149878,-0.030635728,0.023288947
-0.0038787029,-0.010315841,-0.020688191,0.052967392,0.00059664436
-0.03620979,0.028481694,-0.02020039,0.047556892,0.010293925
-0.05649771,0.012621186,0.039467715,-0.04316728,0.024679745
5.186163e-05,-0.0076498147,0.03769682,-0.023641612,0.03884401
-0.005839262,0.0030278629,0.03075112,-5.7025813e-05,-0.0051727165
0.0043912623,-0.013739747,0.08610323,0.046725053,0.045665346
-0.0049441494,-0.04884186,0.046625506,-0.0022994666,-0.038859468
-0.05112487,-0.05597194,0.044292778,0.008682499,0.021548128
0.0103663895,0.0055258786,-0.0021218052,0.01810449,0.01625665
-0.014369918,-0.008813937,0.0319743,0.00701531,-0.0014248656
-0.11441594,0.23323251,-0.30916867,-0.45368195,0.115995035
-0.07166537,0.02722859,0.0003732976,-0.027184762,-0.0030625686
0.01910546,0.00176423,0.02266555,0.005969499,-0.017499873
-0.020579614,0.017062765,0.01280744,0.0028511677,-0.024499625
